Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Get Suites,,,,2024-02-12 17:07:06,2024-02-12 17:07:13,6.895s,PASSED
,,,,,,,
Test Cases/GET/TC Get Photos Title,,,,2024-02-12 17:07:06,2024-02-12 17:07:10,4.140s,PASSED
"response = sendRequest(findTestObject(""GET/GET Photos Title Request"", [""id"":id]))",,,,2024-02-12 17:07:07,2024-02-12 17:07:10,3.078s,PASSED
"verifyElementPropertyValue(response, ""[0].title"", ""officia porro iure quia iusto qui ipsa ut modi"")",,,,2024-02-12 17:07:10,2024-02-12 17:07:10,0.515s,PASSED
"verifyElementPropertyValue(response, ""[0].id"", id)",,,,2024-02-12 17:07:10,2024-02-12 17:07:10,0.171s,PASSED
,,,,,,,
Test Cases/GET/TC Get Username,,,,2024-02-12 17:07:10,2024-02-12 17:07:13,2.467s,PASSED
"response = sendRequest(findTestObject(""GET/GET Username"", [""email"":""Karley_Dach@jasper.info""]))",,,,2024-02-12 17:07:11,2024-02-12 17:07:12,1.506s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2024-02-12 17:07:12,2024-02-12 17:07:12,0.140s,PASSED
"verifyElementPropertyValue(response, ""[0].email"", ""Karley_Dach@jasper.info"")",,,,2024-02-12 17:07:12,2024-02-12 17:07:13,0.212s,PASSED
"verifyElementPropertyValue(response, ""[0].username"", ""Leopoldo_Corkery"")",,,,2024-02-12 17:07:13,2024-02-12 17:07:13,0.175s,PASSED
